TF,1,Artificial Intelligence aims to create systems that can perform tasks requiring human intelligence.,True,1,
TF,2,Machine Learning is a subset of Artificial Intelligence.,True,1,
MC,3,Which type of AI can perform a specific task but lacks generalization?,b,2,a) Strong AI b) Narrow AI c) General AI d) Artificial Superintelligence
MC,4,What is the main goal of supervised learning?,a,3,a) To train a model using labeled data b) To find hidden patterns in data c) To generate random predictions d) To create unstructured data
CQ,5,The algorithm that learns by minimizing a cost function using backpropagation is called __.,Neural Network,1,
TF,6,In reinforcement learning agents learn by interacting with an environment.,True,2,
TF,7,A decision tree is a machine learning model used for classification and regression tasks.,True,2,
MC,8,Which of the following is a commonly used activation function in neural networks?,c,3,a) Linear b) Exponential c) ReLU d) Logarithmic
MC,9,Which type of AI learns by mimicking the human brainâ€™s neural structure?,d,3,a) Genetic Algorithms b) Symbolic AI c) Rule-Based Systems d) Deep Learning
CQ,10,The process of training a machine learning model by updating its parameters iteratively is called __.,Gradient Descent,3,
TF,11,Unsupervised learning uses labeled data for training.,False,3,
TF,12,Natural Language Processing (NLP) is a field of AI focused on enabling machines to understand human language.,True,3,
MC,13,What is the main characteristic of a convolutional neural network (CNN)?,a,4,a) It is designed for image processing tasks b) It performs statistical analysis c) It uses decision rules for predictions d) It creates probabilistic models
MC,14,Which of the following is an example of unsupervised learning?,b,4,a) Logistic Regression b) Clustering c) Linear Regression d) Classification
CQ,15,The ability of an AI system to improve itself without explicit programming is called __.,Machine Learning,5,
